source-word,target-word,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
firefighters police,petugas damkar,19,354.918,18.67989474,15.939,38,2,2,0,0,0,2,19,19,6,1,2.842105263,22.94736842,11,3,24,1.889578287,1,8.831,8.831,8.831,2,2,2,0,0,0,2,14,1,0,15,0.470342523,2,4
resources management,manajemen sumber daya,23,260.875,11.3423913,9.588,43,1.869565217,2,0,0,0,2,20,23,6,2,2.956521739,21.60869565,13,3,21,1.757671028,13,126.322,9.717076923,8.864,25,1.923076923,2,0,0,0,3,21,13,1,19,0.57005772,3,5
EMTS paramedics,paramedis emts,10,278.463,27.8463,12.0645,15,1.5,1.5,1,0.1,0,2,15,10,5,0,2.6,19.7,6,2,14,,6,98.99,16.49833333,12.0645,9,1.5,1.5,0,0,0,2,14,6,1,10,0.777899878,,5
terror,ancaman,20,213.18,10.659,6.6845,38,1.9,2,0,0,0,1,6,20,2,1,1,5.4,16,1,5,0.721928095,4,89.08,22.27,10.895,7,1.75,2,0,0,0,1,7,4,0,7,0,3,5
flood tornado,banjir karena angin topan,16,316.166,19.760375,12.69,26,1.625,2,4,0.25,0,2,13,16,12,1,2.625,16.5,3,2,14,3.452819531,1,17.636,17.636,17.636,2,2,2,0,0,0,4,25,1,0,20,0.394871795,1,3
stakeholders,pemilik kepentingan,12,192.455,16.03791667,13.0765,18,1.5,2,5,0.416666667,0,1,12,12,8,1,1.916666667,16.33333333,4,2,14,2.751629167,1,19.371,19.371,19.371,2,2,2,0,0,0,2,19,1,0,17,0.43128655,3,5
emergency-related skills,keterampilan terkait kondisi darurat,14,333.896,23.84971429,15.775,24,1.714285714,2,2,0.142857143,0,2,24,14,13,1,4.214285714,34.92857143,2,4,36,3.664497779,2,92.613,46.3065,46.3065,4,2,2,0,0,0,4,36,2,1,28,0.569444444,3,5
decreasing water quality,meningkatkan kualitas air,16,277.562,17.347625,11.565,28,1.75,2,1,0.0625,0,3,24,16,9,2,3.0625,22.875,6,3,22,2.780639062,1,9.331,9.331,9.331,2,2,2,0,0,0,3,25,1,0,18,0.608333333,3,1
disaster victims worldwide,korban bencana sedunia,14,295.157,21.08264286,14.881,23,1.642857143,2,1,0.071428571,0,3,26,14,4,3,4.357142857,28.5,7,5,31,1.574417427,1,17.767,17.767,17.767,2,2,2,0,0,0,3,22,1,0,23,0.47972028,3,5
tents hygiene kits,peralatan tenda kebersihan,12,470.78,39.23166667,28.7045,17,1.416666667,1.5,4,0.333333333,0,3,18,12,7,1,3.416666667,28.5,4,3,26,2.522055209,1,23.203,23.203,23.203,2,2,2,0,0,0,3,26,1,0,20,0.598290598,2,1
